time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6,x,y,z
24.11,0.932376562499984,0.864502029332449,-0.202877651800584,-1.50728865039831e-16,0.90917194925893,0.932376562499984,-0.897461501812599,-0.526744924771878,0.365998809333067,1.36158556967848e-17,0.160746115441811,-0.897461501812599,-0.667353040100888,-0.391687917748286,0.272156986777055,1.01247604208896e-17,0.119530930973461,-0.667353040100888,0,0,0,0,0,0,0.290479858106987,0.391434559695881,0.269174937552384
24.12,0.92336882446096,0.859215139269591,-0.199204155622298,-1.50592203956268e-16,0.910785343143532,0.92336882446096,-0.904061564170834,-0.530618683527387,0.368690417786198,1.37159886790665e-17,0.161928265744211,-0.904061564170834,-0.652628028846726,-0.383045402242414,0.266151897338061,9.90135960874863e-18,0.116893504906535,-0.652628028846727,0,0,0,0,0,0,0.293624293230385,0.388313262493366,0.270496634771285
24.13,0.914295825168795,0.853889945576097,-0.195504044886289,-1.50454552760256e-16,0.912410426101048,0.914295825168795,-0.91051344249209,-0.534405468981808,0.371321594475974,1.38138734841729e-17,0.163083874508877,-0.91051344249209,-0.63771704835942,-0.37429373626098,0.26007096674291,9.67513736054892e-18,0.114222769520201,-0.637717048359421,0,0,0,0,0,0,0.296754939838831,0.385139584722782,0.271823698029436
24.14,0.905159055680755,0.848527323394627,-0.191777927668982,-1.50315934073402e-16,0.914046931065242,0.905159055680755,-0.91681530155367,-0.538104203992291,0.373891590969935,1.3909482268985e-17,0.16421261302542,-0.91681530155367,-0.622624992566159,-0.365435792184917,0.253916190811501,9.44616792460783e-18,0.111519601375497,-0.622624992566159,0,0,0,0,0,0,0.299870189296609,0.381913874566049,0.273155789434338
24.15,0.895960025161636,0.843128158495652,-0.188026419431341,-1.50176370792029e-16,0.915694587726606,0.895960025161636,-0.92296535507215,-0.541713840139794,0.376399678793816,1.4002787932867e-17,0.165314161349062,-0.92296535507215,-0.607356755394129,-0.356474442395164,0.247689565363734,9.21452554924267e-18,0.10878487703346,-0.607356755394129,0,0,0,0,0,0,0.302968439018888,0.378636524687521,0.274492569530738
24.16,0.886700260394374,0.837693346990216,-0.184250142819277,-1.50035886079757e-16,0.917353122620009,0.886700260394374,-0.92896186570338,-0.545233357729085,0.378845149431555,1.40937641176662e-17,0.166388208300635,-0.92896186570338,-0.591917230770519,-0.347412559272656,0.241393086219507,8.98028448277082e-18,0.106019473055127,-0.59191723077052,0,0,0,0,0,0,0.30604809419467,0.375307972393589,0.27583369750177
24.17,0.877381305290647,0.832223795042694,-0.180449727464074,-1.49894503360074e-16,0.919022259212359,0.877381305290647,-0.934803145042479,-0.548661765788741,0.381227314325285,1.41823852077131e-17,0.16743445146658,-0.934803145042479,-0.576311312622517,-0.338253015198328,0.235028749198719,8.74351897350957e-18,0.103224266001535,-0.576311312622518,0,0,0,0,0,0,0.309107569517702,0.371928699723124,0.277178831371016
24.18,0.868004720401488,0.826720418583557,-0.176625809782802,-1.49752246308912e-16,0.920701717990255,0.868004720401488,-0.94048755362384,-0.551998102071148,0.38354550487534,1.42686263298215e-17,0.168452597198952,-0.94048755362384,-0.560543894877311,-0.328998682553115,0.228598550121268,8.50430326977625e-18,0.10040013243372,-0.560543894877312,0,0,0,0,0,0,0.312145290922402,0.368499233467793,0.278527628205349
24.19,0.858572082427888,0.821184143022133,-0.172779032778735,-1.49609138847222e-16,0.922391216547644,0.858572082427888,-0.946013500921125,-0.555241433052503,0.385799072440254,1.43524633532881e-17,0.169442360615411,-0.946013500921126,-0.544619871462089,-0.319652433717956,0.222104484807055,8.26271161988824e-18,0.0975479489127209,-0.54461987146209,0,0,0,0,0,0,0.315159697321767,0.365020145121482,0.279879744318396
24.2,0.849084983731407,0.815615902959369,-0.168910045841775,-1.49465205133551e-16,0.92409046967348,0.849084983731407,-0.951379445347272,-0.558390853932811,0.387987388336758,1.44338728898931e-17,0.170403465599232,-0.951379445347272,-0.52854413630404,-0.310217141073784,0.215548549075977,8.01881827216285e-18,0.0946685919995734,-0.52854413630404,0,0,0,0,0,0,0.318149242344208,0.361492050758184,0.281234835474464
24.21,0.839545031844777,0.810016641900592,-0.165019504548863,-1.49320469556615e-16,0.925799189439376,0.839545031844777,-0.956583894254487,-0.561445488635885,0.390109843839784,1.45128322938996e-17,0.171335644799299,-0.956583894254487,-0.51232158333035,-0.300695677001537,0.208932738747934,7.77269747491741e-18,0.091762938255315,-0.512321583330351,0,0,0,0,0,0,0.321112396066164,0.35791561083789,0.282592557092775
24.22,0.829953848982513,0.804387311968275,-0.161108070464398,-1.49174956727875e-16,0.927517085287262,0.829953848982513,-0.961625403934251,-0.564404489809351,0.39216585018246,1.45893196620541e-17,0.172238639630105,-0.961625403934251,-0.495957106468208,-0.291090913882148,0.202259049642824,7.52442347646924e-18,0.0888318642409824,-0.495957106468209,0,0,0,0,0,0,0.324047646737334,0.354291529940206,0.283952564451835
